judet,an,mediu,numar_someri
CARAS-SEVERIN,2020,barbati_rural,1184
CLUJ,2020,barbati_rural,1486
CONSTANTA,2020,barbati_rural,1731
COVASNA,2020,barbati_rural,1284
DAMBOVITA,2020,barbati_rural,2673
DOLJ,2020,barbati_rural,9225
GALATI,2020,barbati_rural,5299
GIURGIU,2020,barbati_rural,760
GORJ,2020,barbati_rural,1824
HARGHITA,2020,barbati_rural,2044
HUNEDOARA,2020,barbati_rural,885
IALOMITA,2020,barbati_rural,1624
IASI,2020,barbati_rural,3921
ILFOV,2020,barbati_rural,256
MARAMURES,2020,barbati_rural,1090
MEHEDINTI,2020,barbati_rural,2798
MURES,2020,barbati_rural,2303
NEAMT,2020,barbati_rural,3352
OLT,2020,barbati_rural,4041
PRAHOVA,2020,barbati_rural,2631
SALAJ,2020,barbati_rural,2210
SATU MARE,2020,barbati_rural,2049
SIBIU,2020,barbati_rural,1511
SUCEAVA,2020,barbati_rural,4267
TELEORMAN,2020,barbati_rural,3863
TIMIS,2020,barbati_rural,833
TULCEA,2020,barbati_rural,987
VALCEA,2020,barbati_rural,1915
VASLUI,2020,barbati_rural,3787
VRANCEA,2020,barbati_rural,2414
BUCURESTI,2020,barbati_rural,0
Total TARA,2020,barbati_rural,100633
ALBA,2024,barbati_rural,1837
ARAD,2024,barbati_rural,1033
ARGES,2024,barbati_rural,3906
BACAU,2024,barbati_rural,2269
BIHOR,2024,barbati_rural,1884
BISTRITA-NASAUD,2024,barbati_rural,1620
BOTOSANI,2024,barbati_rural,1920
BRAILA,2024,barbati_rural,2181
BRASOV,2024,barbati_rural,2837
BUZAU,2024,barbati_rural,3482
CALARASI,2024,barbati_rural,1802
CARAS-SEVERIN,2024,barbati_rural,983
CLUJ,2024,barbati_rural,1659
CONSTANTA,2024,barbati_rural,1369
COVASNA,2024,barbati_rural,1487
DAMBOVITA,2024,barbati_rural,2333
DOLJ,2024,barbati_rural,9189
GALATI,2024,barbati_rural,4868
GIURGIU,2024,barbati_rural,794
GORJ,2024,barbati_rural,1621
HARGHITA,2024,barbati_rural,2132
HUNEDOARA,2024,barbati_rural,1256
IALOMITA,2024,barbati_rural,1785
IASI,2024,barbati_rural,4964
ILFOV,2024,barbati_rural,264
MARAMURES,2024,barbati_rural,1244
MEHEDINTI,2024,barbati_rural,3313
MURES,2024,barbati_rural,2802
NEAMT,2024,barbati_rural,3904
