judet,an,categorie_varsta,numar_someri
MURES,2020,peste_55,831
NEAMT,2020,peste_55,1634
OLT,2020,peste_55,1986
PRAHOVA,2020,peste_55,1361
SALAJ,2020,peste_55,717
SATU-MARE,2020,peste_55,723
SIBIU,2020,peste_55,831
SUCEAVA,2020,peste_55,1824
TELEORMAN,2020,peste_55,1811
TIMIS,2020,peste_55,664
TULCEA,2020,peste_55,410
VALCEA,2020,peste_55,953
VASLUI ,2020,peste_55,1613
VRANCEA,2020,peste_55,1101
TOTAL,2020,peste_55,51094
ALBA,2024,peste_55,1074
ARAD,2024,peste_55,675
ARGES,2024,peste_55,1836
BACAU,2024,peste_55,1484
BIHOR,2024,peste_55,1039
BISTRITA NASAUD,2024,peste_55,1258
BOTOSANI,2024,peste_55,1028
BRAILA,2024,peste_55,1321
BRASOV,2024,peste_55,1093
BUZAU,2024,peste_55,2014
CALARASI,2024,peste_55,800
CARAS-SEVERIN,2024,peste_55,755
CLUJ,2024,peste_55,993
CONSTANTA,2024,peste_55,1303
COVASNA,2024,peste_55,495
DAMBOVITA,2024,peste_55,1168
DOLJ,2024,peste_55,3984
GALATI,2024,peste_55,2575
GIURGIU,2024,peste_55,365
GORJ,2024,peste_55,1086
HARGHITA,2024,peste_55,914
HUNEDOARA,2024,peste_55,1458
IALOMITA,2024,peste_55,1119
IASI,2024,peste_55,2647
ILFOV,2024,peste_55,217
MARAMURES,2024,peste_55,702
MEHEDINTI,2024,peste_55,1848
MUNICIPIUL BUCURESTI,2024,peste_55,1815
MURES,2024,peste_55,1259
NEAMT,2024,peste_55,1896
OLT,2024,peste_55,1750
PRAHOVA,2024,peste_55,1338
SALAJ,2024,peste_55,818
SATU-MARE,2024,peste_55,863
SIBIU,2024,peste_55,973
SUCEAVA,2024,peste_55,2469
TELEORMAN,2024,peste_55,2486
TIMIS,2024,peste_55,781
TULCEA,2024,peste_55,559
VALCEA,2024,peste_55,568
VASLUI ,2024,peste_55,2472
VRANCEA,2024,peste_55,584
TOTAL,2024,peste_55,55882
